date;price;log_return;vol_5d;vol_10d
;Nflx;;;
2022-04-19;34.861000061035156;0.03132223287898192;0.023748744398088138;0.020722055780401188
2022-04-20;22.618999481201172;-0.4325784894950873;0.19624483863677947;0.13520096881204735
2022-04-21;21.82200050354004;-0.03587157980163934;0.19061611715404173;0.1351352155822887
2022-04-22;21.552000045776367;-0.012450036515782656;0.19200588301525334;0.13527434594731327
2022-04-25;20.990999221801758;-0.02637488443308335;0.19035259032448756;0.1350514896189588
2022-04-26;19.84000015258789;-0.056393627811272516;0.1795113762486299;0.1346284284498748
2022-04-27;18.854000091552734;-0.0509750117178115;0.017934312029670087;0.13373894231412584
2022-04-28;19.95199966430664;0.0566042742827953;0.04535451146892849;0.13675483315901124
2022-04-29;19.035999298095703;-0.04699748572623683;0.046917878581739;0.13642156384578208
2022-05-02;19.945999145507812;0.04669669275300152;0.05668013683445102;0.13977757466384252
2022-05-03;19.98699951171875;0.0020534586430653525;0.05046077334146553;0.1381192592723912